"","RDDam","RDDam","RDDam","RDDam","RDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","FemMRD","FemMRD","FemMRD","FemMRD","FemMRD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD"
"Metabolite","RD_Dam_1","RD_Dam_2","RD_Dam_3","RD_Dam_4","RD_Dam_5","HFD_Dam_A1","HFD_Dam_A2","HFD_Dam_A3","HFD_Dam_A4","HFD_Dam_B1","HFD_Dam_B2","HFD_Dam_B3","HFD_Dam_B4","Male_MRD_A1","Male_MRD_A2","Male_MRD_A3","Male_MRD_B1","Male_MRD_B2","Male_MRD_B3","Male_MRD_B4","Female_MRD_A2","Female_MRD_A3","Female_MRD_B2","Female_MRD_B3","Female_MRD_B4","MAle_MHFD_A1","MAle_MHFD_A2","MAle_MHFD_A3","Male__MHFD_B1","Male_MHFD_B2","Male_MHFD_B3","Male_MHFD_B4","Female__MHFD_A1","Female__MHFD_A2","Female_MHFD_A3","Female__MHFD_B1","Female__MHFD_B2","Female__MHFD_B3","Female__MHFD_B4"
"Glycine","0.447481924763249","0.93349139439625","0.0109840637146876","0.0354910982528529","-0.428209555695902","-1.54898850484765","-0.843441658230615","-1.65128033070665","-1.27399403080141","0.0865178793773257","-2.19814522366243","-1.28072400317325","-1.30584224224338","-0.521267932945014","1.43933563862892","1.26107944847955","1.0755893669775","0.0616612797004987","0.408126591215636","-0.839983676725344","1.16753776785443","1.7168542268495","1.03188084410573","0.87532255101812","0.295039190682191","-0.519652524049576","0.00507741372460395","0.909188695721666","0.880132516497183","1.29416996082403","-0.450011535419475","-0.640191743859916","1.2060403688462","-0.443086340778667","0.571978824506771","0.298105549867263","-0.83130782852313","0.164783474560584","-1.39974293890231"
"Histidine","0.607805296112998","0.252334430547559","0.396884220598625","-0.820846810317319","0.23245222480849","1.14084743536851","1.60283301095565","2.00132645394325","0.664520738261567","1.04781449662862","1.79138953248987","1.06486252075702","0.427354100445169","0.126272468211143","0.283732232383253","0.237705124410814","0.623823802152853","-0.357664439896","0.473062545237569","-0.996747798616856","0.135832503517917","0.0436163576968006","-1.6684704592265","0.851883187588334","-0.170994624585088","-2.41443481227722","-1.13670881746797","-0.131544921709255","0.812172739086022","-0.316834745637639","-1.08458232817908","-0.742025465430744","-0.66005444295209","-0.527552338720056","-0.611903853074962","0.696724695794034","-2.04205271806116","-0.566559504077937","-1.2662720367662"
"Lysine","0.0731309497285074","-0.0893738708318106","0.462380762994938","-0.251797394182841","0.871734282882387","1.22799325360201","2.18012169566692","0.897689363711752","-0.0914574864253132","1.03910339096602","1.97187849966894","2.05371313318676","0.0293514310484332","1.03738137995157","1.0551401806124","-0.158041376220156","-0.254452729803829","-0.367575457144464","0.546551074602054","-0.154931506218755","-0.36937614542263","-0.196545512879854","-0.95002639215583","0.746414159562454","-0.92844876354389","-1.98792170654661","-0.424577938989929","-0.719803752315447","-0.111487402785038","-1.38321884409394","-0.726306010748069","-0.507475047211123","-0.255544525425941","-0.730377603495332","-0.652561193579147","0.969740897993331","-2.14635009963798","-1.0370453359617","-0.667628360558824"
"Tryptophan","-0.159110368083369","-0.341744635898555","0.08346313922093","-0.363324620789842","0.410943119449766","0.982438752895639","2.0316264175194","1.03345498368309","1.17036349493155","0.859494562996058","1.66047517762836","2.91542484027852","0.318833912513144","0.969074740972074","1.13421385500405","-0.597039117225169","-1.40424321697173","-1.50136522313527","-0.203616995005185","-0.628478880346879","0.0292083510099593","-0.522859033976376","-1.40029531908978","0.55973966498823","-0.587201491888361","-1.38883509215383","-0.402950150170067","-0.85386310187244","-0.756177452357327","-1.14327338345194","-0.10817442355716","-0.156442761363707","0.226575165530535","-0.420104568831449","-0.0947279029881268","0.252023490648699","-1.36693959471878","-0.771171116455698","0.534584781061079"
"Methionine","2.0511020914567","0.698245998145685","0.632759546156339","-0.518300690695103","-0.404364874666824","-0.133697215951822","-2.32036465965027","-0.72703889155764","0.118280336960114","-2.60730625012707","-2.26975739190903","-1.26589355534167","-0.8104404161746","-0.503442384744535","1.28557183708698","0.707765267212804","-1.03433540092994","-0.384950691845926","0.0413383504238785","-0.198891586288033","1.08471600478207","0.635346738637028","0.101180161548781","0.159045867373039","1.62302233766602","0.0448662189173991","0.648168259200965","0.43775970441845","0.138527344628975","0.0276769312155603","0.706574617449478","0.844201617151443","0.814205362688499","-0.0360030992784136","0.232571027354431","-0.793362823953304","-0.279924183673844","0.213222078124507","1.04192641818888"
"Arginine","1.4119769831387","0.747296901908334","1.366086499448","-0.330533102822997","1.29873340621001","-0.0014548687557762","0.630694808922628","0.759947914354152","-0.0573082824925478","-0.491610930376432","0.576510780743889","0.521406026195997","-1.63354699538654","1.69633096472481","2.47023533855245","1.73653040155469","0.928269379996708","-0.843121034376479","0.64282690345103","-0.59823691185208","-0.358735532025775","0.534965899625575","-1.12689805700852","0.383988995651587","0.158792594230831","-1.55636578575862","-0.903881114959756","-0.479927764934648","-0.106120557169152","-0.866887135211691","-0.617222168775635","-0.343093648099963","-0.267166245723483","-0.870092387272256","-0.210105639219874","-0.361251126057824","-1.80841894648544","-0.90174424109701","-1.13087132284688"
"Valine","0.198965964951975","-0.809733154736226","-1.1389573557747","-1.07609259553715","-1.8394582624128","0.906838383366696","0.179302257243045","1.67775470959659","1.64513916133363","0.0508026110546293","0.288247011398348","2.49679111396107","1.04105312260828","-1.10069699787513","0.594324906128517","0.454024163929186","-1.08497305126736","-0.582453212927316","-0.62132110574032","-1.122028596639","0.349360181521155","0.0753965446606622","-0.692021103291379","1.19495452775104","1.02177707504729","-0.749241291264305","-0.191915875247334","-0.412295748226667","-0.416283611481979","-1.46129383507499","-0.0283827365039645","0.0634845066449427","-0.128508067753596","-0.837741457190154","-0.239807000167838","0.537651259098549","0.0305423168137955","-0.557404142911762","2.28419938491458"
"Glutamine","-0.0893802516517455","-0.158256809866095","0.0236000766557082","-0.945852299289299","0.628209905809203","0.931292642557209","2.26259045187177","0.685787419001086","-0.285366056815339","1.04421404587333","1.9561027927216","2.09006873661878","-0.162423538685847","1.06136155279536","0.999877839037825","-0.0748204273865021","-0.0233008948172248","-0.252785327817018","0.62667303646428","-0.319709750049959","-0.297525063677384","-0.0457848746009864","-0.911739715137063","1.02691640326011","-0.774088119812292","-2.19734570643893","-0.387743895775946","-0.437694719067565","-0.0775020274169693","-1.19505676710812","-0.725940591917529","-0.554760978869518","-0.0437460997810919","-0.886665921625435","-0.537954759999239","1.27807507085069","-2.18616735732662","-0.729971099893444","-0.313186918689783"
"Tyrosine","0.212538372835531","-0.355862880116768","0.0119189449372259","-1.29967973704623","-0.576047981737682","0.312526028531792","1.39977029507766","1.9425573918407","1.61146445982495","0.699284664393051","-0.405893394199914","1.21604425552081","0.248406570667606","-0.292976121923288","0.827591193138968","1.16456893606361","-1.40238574580579","-1.21556765425379","0.312930942450074","-0.917875368290737","-0.732673780170196","-0.551094888099834","-1.39641693817059","0.151505687879378","-0.557794749698532","-0.190807211197351","-0.17649349361464","2.06937293122098","-0.288044052103093","1.71752847374937","1.15558528073078","0.379147247308391","-0.463947893904848","-1.49400058293548","-1.13781855893357","-1.05488491916258","-1.28777379419028","-0.0492426088586217","0.414540678242939"
"Homoserine/Threonine","-0.196817365384648","0.187354743842359","0.481020748751589","-1.46934289026028","-0.943855312975595","1.15199511016451","0.520759034871648","1.45325325770831","1.63851530095299","0.220393689887877","1.2153917183286","1.78053880929202","1.44707928761548","-0.778765044662341","1.78053880929202","1.0530644791609","-0.745277265657891","-1.39406003561316","-0.762716941959141","-1.29058309442499","0.61095842471083","0.582178507927569","-1.00204034680384","-0.889325314478314","0.627456936482574","-0.902804479761613","0.0857549146567235","-0.264356124873621","-0.51365404553518","-0.886071578527795","-0.640424837616972","-1.00114977626111","0.41178254437673","-1.71337018493832","0.143733691048405","-0.655628725558496","-0.783712171865029","0.294768990453468","1.14741653763372"
"Phenyl alanine","0.0460588197377393","-0.352399263679816","-0.209722879668352","-0.728572720766884","0.424434823211563","1.1190623790632","1.94581756042409","1.23115350802146","-0.135093841312657","0.858283518366826","1.91494525400188","2.44572349620593","-0.419926856569897","0.888252978187743","0.790495988467896","-0.196317169726009","-0.911898727053445","-0.454309883721727","0.241745915289251","-0.253806376869232","-0.397616544630098","-0.522908103259956","-0.952363111998219","1.22801485446898","-0.401456962858256","-1.69979808677509","-0.379909179008145","-0.589379542505301","-0.110561248493409","-0.895773679787217","-0.209992207086387","0.0952532122634047","-0.339792458038182","-1.04386859549468","-0.347952908289262","0.733328727701959","-2.24002946398926","-1.35320581337412","1.18408458954365"
"Alanine","1.10831288152938","1.00137258337235","0.498308544872513","-0.215872543636875","0.792643819075298","-0.611099203412651","-1.62053259443108","-1.50295262171821","-1.00048315064655","-0.273830623050972","-1.60850837631868","-1.04954192280203","-0.440614554366705","-0.754786859584487","2.97244946517222","0.749637173748136","0.919145678293834","0.421913586612067","0.125740919293831","-0.683550970185533","0.271192132595103","0.653942156756919","-0.0251675848816055","1.16892496334508","0.0441032368328592","-0.589297620824766","0.92984311519241","0.411025278443763","1.07742687983776","0.678093821922274","-0.884061216434102","-1.33019812726013","0.780211504778446","-0.968974774499753","0.0658000871309776","1.23851034108098","-0.64082818404969","-0.230840606218524","-1.47745663556386"
"Glutaric acid","0.14375014577834","-0.649252319889503","-0.901661211699184","-1.26971740279663","-0.0618802784519886","-0.48868835584416","-0.0504034123834633","-0.889383296738334","-1.50443591843653","1.45225371967858","-0.249156563862564","1.13675681802446","-0.779208469761079","-0.693286098635227","0.406578763788377","0.36731240312281","-0.251710091729046","-0.735098751961867","-1.65949595917964","-2.33663673428353","0.66954856343645","1.4080439716495","1.01800030809968","1.89439501362318","0.783936848268699","-0.274865565478118","0.18643704097767","1.34370133549077","-0.637068091622951","0.512445120240217","-0.865184665811359","-0.351844227557487","-0.561682154483565","0.109161706198861","-0.246294801279768","2.27079131163562","0.802891370563928","0.920299622891866","0.0306503084169911"
"Citrulline","1.06440655322191","1.66343717970955","0.366046729599694","-0.0739580776615074","1.13834886086207","-1.21784546222275","0.692448973589466","-1.31226016797677","-1.39181785315218","-0.0380727015778566","-0.10376667584812","-0.193184091387241","-2.07673669152096","0.853733124574224","3.06964350538118","0.820768622590884","0.683253726991465","-0.583043539030362","-0.162650746889705","-0.636723937659932","0.359597262363306","0.499390830742193","-0.609000096294401","0.929903836424097","0.662651925172593","-2.07673669152096","-0.673629189376337","0.273920394217852","0.485605839416181","0.0581813864275097","-0.750849244769709","-0.0824116231412677","0.513387581424694","-0.431525849534228","-0.373080793665367","0.64013260283214","-1.23561045895239","-0.603613192388319","-0.148341850970642"
"Asparagine","-0.804580437569125","0.325081947666115","1.28991026587651","1.10572838954005","0.596301911710483","-0.568969195408368","-0.874880817947673","-0.586741560344519","-0.0469792576303204","-1.32756320186806","-2.17591110279888","-2.12076891822965","-0.211307004548299","0.150255393091575","2.18285747055193","0.573664579941436","0.774959290839565","-0.71969740579325","0.653026579147253","0.246088851158565","0.501190034291761","0.720384471354745","-0.919862777869708","-0.490418111138512","0.384767935599847","-0.0500826075282304","-1.21579869633882","1.36623759907282","-1.13860893592582","2.4345156084925","-0.531021997506475","-0.348353035312649","0.264564961097212","1.02146980517089","0.17593097610616","0.166682305879894","-0.381612500328253","0.249648412197354","-0.670109224700049"
"Isoleucine/Leucine","-0.570928768079749","-1.18630270236764","-0.474403681134263","-0.707363291194524","-0.0863383531163439","0.521152195729664","1.67842767992743","1.11060805999404","0.153305283070843","0.426128813113495","1.79823783113518","2.5830250770316","-0.259808117676198","0.72678559765404","0.680322696280019","-0.190521476304567","-1.16433012402073","-0.322401448236056","0.384774474397397","0.00613935537288626","-0.436383003275694","-0.558401597301234","-1.56587170558642","0.916658851607733","-0.577876476199575","-1.07882718882046","0.099574230687125","-0.795318006922158","0.212430725462031","-1.40402684233262","0.433521133105313","0.993430928134151","0.0236596162416612","-0.960277157018237","-0.5242620421909","1.08141757617421","-1.48592891926692","-1.2503470597198","1.77031783564529"
